datetime,km,sentido_via,acidente
2023-02-09 13:00:00,145.7,Decrescente,0.0
2023-03-03 08:00:00,140.3,Crescente,0.0
2023-02-11 13:00:00,145.2,Decrescente,0.0
2023-03-04 17:00:00,146.8,Decrescente,0.0
2023-12-11 01:00:00,146.9,Decrescente,0.0
2023-09-02 09:00:00,148.8,Decrescente,0.0
2023-12-20 06:00:00,139.0,Decrescente,0.0
2023-04-30 03:00:00,148.2,Decrescente,0.0
2023-07-01 21:00:00,141.4,Crescente,0.0
2023-10-28 14:00:00,141.3,Decrescente,0.0
2023-07-19 20:00:00,139.9,Decrescente,0.0
2023-08-07 09:00:00,146.9,Crescente,0.0
2023-04-03 05:00:00,140.9,Decrescente,0.0
2023-02-07 02:00:00,144.3,Crescente,0.0
2023-03-26 22:00:00,144.2,Decrescente,0.0
2023-08-16 16:00:00,140.0,Decrescente,0.0
2023-11-26 06:00:00,142.6,Crescente,0.0
2023-11-23 14:00:00,145.8,Decrescente,0.0
2023-02-05 22:00:00,143.7,Decrescente,0.0
2023-04-05 15:00:00,140.3,Crescente,0.0
2023-08-16 22:00:00,141.6,Crescente,0.0
2023-09-09 05:00:00,145.3,Crescente,0.0
2023-06-04 19:00:00,148.1,Crescente,0.0
2023-01-31 08:00:00,140.9,Decrescente,0.0
2023-02-03 13:00:00,139.1,Decrescente,0.0
2023-09-05 01:00:00,143.1,Crescente,0.0
2023-07-08 07:00:00,141.9,Decrescente,0.0
2023-05-26 20:00:00,145.0,Decrescente,1.0
2023-04-28 09:00:00,147.1,Decrescente,1.0
2023-08-28 12:00:00,142.0,Decrescente,1.0
2023-11-28 18:00:00,147.1,Decrescente,1.0
2023-12-24 08:00:00,145.0,Decrescente,1.0
2023-12-28 08:00:00,148.1,Crescente,1.0
2023-07-24 08:00:00,148.0,Decrescente,1.0
2023-10-23 01:00:00,146.1,Crescente,1.0
2023-07-20 15:00:00,146.1,Decrescente,1.0
2023-08-11 21:00:00,148.1,Crescente,1.0
2023-04-06 19:00:00,147.1,Decrescente,1.0
2023-03-23 03:00:00,140.1,Decrescente,1.0
2023-01-23 23:00:00,140.0,Crescente,1.0
2023-12-27 07:00:00,146.1,Crescente,1.0
2023-09-04 22:00:00,140.0,Crescente,1.0
2023-01-08 17:00:00,145.0,Decrescente,1.0
2023-11-16 11:00:00,145.0,Decrescente,1.0
2023-04-30 01:00:00,145.1,Crescente,1.0
2023-01-07 11:00:00,141.0,Decrescente,1.0
2023-04-01 15:00:00,148.0,Decrescente,1.0
2023-07-03 01:00:00,144.0,Crescente,1.0
2023-09-29 22:00:00,146.9,Crescente,1.0
2023-09-29 15:00:00,144.0,Decrescente,1.0
2023-01-27 18:00:00,143.0,Crescente,1.0
2023-02-27 19:00:00,144.0,Crescente,1.0
2023-11-20 14:00:00,145.0,Decrescente,1.0
2023-01-03 14:00:00,142.1,Crescente,1.0
2023-08-04 17:00:00,142.1,Crescente,1.0
2023-04-01 12:00:00,141.2,Crescente,1.0
2023-08-27 16:00:00,146.5,Decrescente,1.0
2023-03-25 19:00:00,147.1,Decrescente,1.0
2023-12-06 16:00:00,146.1,Decrescente,1.0
2023-02-24 18:00:00,144.0,Decrescente,1.0
2023-05-23 01:00:00,142.0,Decrescente,1.0
2023-07-23 19:00:00,144.0,Crescente,1.0
2023-12-24 13:00:00,142.1,Crescente,1.0
2023-02-06 08:00:00,140.1,Decrescente,1.0
2023-07-21 17:00:00,144.0,Decrescente,1.0
2023-05-22 20:00:00,147.1,Decrescente,1.0
2023-10-17 07:00:00,142.0,Decrescente,1.0
2023-11-27 18:00:00,146.1,Decrescente,1.0
2023-11-16 16:00:00,141.0,Decrescente,1.0
2023-12-28 14:00:00,141.0,Crescente,1.0
2023-05-18 10:00:00,140.1,Decrescente,1.0
2023-03-26 17:00:00,146.1,Decrescente,1.0
2023-06-16 18:00:00,140.0,Crescente,1.0
2023-08-22 23:00:00,143.8,Decrescente,1.0
2023-11-30 19:00:00,145.1,Crescente,1.0
2023-09-18 13:00:00,148.1,Crescente,1.0
2023-09-25 08:00:00,146.1,Decrescente,1.0
2023-01-03 07:00:00,146.1,Crescente,1.0
2023-03-10 12:00:00,143.0,Decrescente,1.0
2023-07-27 18:00:00,145.1,Crescente,1.0
2023-04-19 21:00:00,140.0,Crescente,1.0
2023-09-30 15:00:00,146.1,Decrescente,1.0
2023-01-03 18:00:00,145.0,Decrescente,1.0
2023-10-21 01:00:00,140.3,Crescente,1.0
2023-04-17 20:00:00,145.1,Crescente,1.0
2023-11-07 14:00:00,140.0,Crescente,1.0
2023-04-07 13:00:00,142.1,Crescente,1.0
2023-01-27 03:00:00,141.2,Crescente,1.0
2023-09-15 17:00:00,146.1,Decrescente,1.0
2023-06-27 16:00:00,148.0,Decrescente,1.0
2023-11-18 04:00:00,148.0,Decrescente,1.0
2023-04-05 04:00:00,142.1,Crescente,1.0
2023-12-02 00:00:00,145.0,Decrescente,1.0
2023-12-15 11:00:00,147.1,Decrescente,1.0
2023-01-28 15:00:00,144.0,Decrescente,1.0
2023-10-11 12:00:00,148.0,Decrescente,1.0
2023-11-08 16:00:00,147.1,Decrescente,1.0
2023-07-15 17:00:00,144.0,Decrescente,1.0
2023-10-31 21:00:00,140.1,Decrescente,1.0
2023-07-30 11:00:00,148.1,Crescente,1.0
2023-11-02 10:00:00,143.0,Crescente,1.0
2023-07-06 10:00:00,146.1,Decrescente,1.0
2023-12-19 18:00:00,145.0,Decrescente,1.0
2023-08-07 18:00:00,143.0,Crescente,1.0
2023-01-14 13:00:00,145.0,Decrescente,1.0
2023-11-08 19:00:00,145.1,Crescente,1.0
2023-03-23 07:00:00,140.0,Crescente,1.0
2023-01-22 18:00:00,148.0,Decrescente,1.0
2023-05-04 07:00:00,142.1,Crescente,1.0
2023-12-16 09:00:00,141.2,Crescente,1.0
2023-03-09 14:00:00,144.0,Crescente,1.0
2023-03-19 05:00:00,146.9,Crescente,1.0
2023-07-31 11:00:00,148.1,Crescente,1.0
2023-05-29 18:00:00,146.9,Crescente,1.0
2023-10-29 17:00:00,142.1,Crescente,1.0
2023-05-08 01:00:00,140.0,Crescente,1.0
2023-11-24 22:00:00,141.2,Crescente,1.0
2023-07-09 02:00:00,140.0,Crescente,1.0
2023-07-25 16:00:00,145.1,Crescente,1.0
2023-08-07 17:00:00,148.0,Decrescente,1.0
2023-04-01 16:00:00,145.6,Decrescente,1.0
2023-01-08 19:00:00,146.1,Decrescente,1.0
2023-01-14 17:00:00,148.0,Decrescente,1.0
2023-07-05 19:00:00,148.1,Crescente,1.0
2023-07-15 14:00:00,148.1,Crescente,1.0
